Time (sec),Thrust (N),Temperature (°C)
4.141,39.915905,382.23
4.142,39.494236,382.23
4.143,39.915905,382.23
4.144,39.915905,382.23
4.145,39.072567,382.23
4.146,39.072567,382.23
4.147,39.494236,382.23
4.148,39.2834,382.23
4.149,39.494236,382.23
4.15,39.2834,382.23
4.15,39.705074,382.23
4.151,39.2834,382.23
4.152,39.2834,382.23
4.153,39.2834,382.23
4.154,39.2834,382.23
4.155,39.2834,382.23
4.156,39.2834,382.23
4.157,39.494236,382.23
4.158,39.2834,382.23
4.16,39.705074,382.23
4.161,39.915905,382.23
4.162,39.494236,382.23
4.162,39.494236,382.23
4.163,39.072567,382.23
4.164,39.072567,382.23
4.165,39.494236,382.23
4.166,39.494236,382.23
4.167,39.494236,382.23
4.168,39.494236,382.23
4.169,39.2834,382.23
4.17,39.705074,382.23
4.171,39.494236,382.23
4.172,39.705074,382.23
4.172,39.2834,382.23
4.173,39.705074,382.23
4.174,39.915905,382.23
4.175,39.705074,382.23
4.176,39.072567,382.23
4.177,39.494236,382.23
4.178,39.494236,382.23
4.179,39.494236,382.23
4.18,39.705074,382.23
4.181,40.126743,382.23
4.182,40.126743,382.23
4.183,39.915905,382.23
4.183,39.705074,382.23
4.184,39.705074,382.23
4.185,40.970085,382.23
4.186,40.337578,382.23
4.187,40.126743,382.23
4.188,40.337578,382.23
4.189,39.915905,382.23
4.19,39.2834,382.23
4.191,38.861732,382.23
4.192,38.229225,382.23
4.193,38.440063,382.23
4.193,38.440063,382.23
4.194,38.440063,382.23
4.195,38.861732,382.23
4.196,38.650894,382.23
4.197,38.229225,382.23
4.198,38.229225,382.23
4.199,38.440063,382.23
4.2,38.440063,382.23
4.202,38.440063,382.23
4.203,38.650894,382.23
4.204,38.440063,382.23
4.205,38.650894,382.23
4.205,38.861732,382.23
4.206,38.440063,382.23
4.207,38.440063,382.23
4.208,38.01839,382.23
4.209,38.01839,382.23
4.21,38.229225,382.23
4.211,38.650894,382.23
4.212,39.072567,382.23
4.213,38.650894,382.23
4.214,38.650894,382.23
4.215,38.229225,382.23
4.215,37.807552,382.23
4.216,38.229225,382.23
4.217,38.440063,382.23
4.218,38.650894,382.23
4.219,38.440063,382.23
4.22,38.650894,382.23
4.221,38.440063,382.23
4.222,38.440063,382.23
4.223,38.650894,382.23
4.224,38.229225,382.23
4.225,38.440063,382.23
4.226,38.229225,382.23
4.226,38.229225,382.23
4.227,38.861732,382.23
4.228,38.650894,382.23
4.229,38.229225,382.23
4.23,38.01839,382.23
4.231,38.229225,382.23
4.232,38.229225,382.23
4.233,37.807552,382.23
4.234,37.807552,382.23
4.235,38.01839,382.23
4.236,38.01839,382.23
4.236,38.229225,382.23
-203.159,38.229225,382.23
4.238,37.59672,382.23
4.239,37.807552,382.23
4.24,38.01839,382.23
4.241,37.59672,382.23
4.242,38.229225,382.23
4.243,38.440063,382.23
4.245,38.229225,382.23
4.246,38.650894,382.23
4.247,38.440063,382.23
4.248,38.440063,382.23
4.248,38.650894,382.23
4.249,38.01839,382.23
4.25,38.01839,382.23
4.251,38.861732,382.23
4.252,38.229225,382.23
4.253,38.650894,382.23
4.254,38.650894,382.23
4.255,38.440063,382.23
4.256,38.229225,382.23
4.257,38.229225,382.23
4.258,38.01839,382.23
4.258,38.01839,382.23
4.259,38.440063,382.23
4.26,38.440063,382.23
4.261,37.807552,382.23
4.262,37.807552,382.23
4.263,37.59672,382.23
4.264,38.01839,382.23
4.265,38.01839,382.23
4.266,38.01839,382.23
4.267,37.59672,382.23
4.268,37.807552,382.23
4.269,38.01839,382.23
4.269,37.807552,382.23
-203.159,37.807552,382.23
4.271,38.01839,382.23
4.272,37.59672,382.23
4.273,38.01839,382.23
